Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita	Confirmed_change	Deaths_change
Croatia	10	0	0	NA	2.45e-6	0	50	20	12.5	1.225e-5	4.9e-6	3.0625e-6	2020-03-05	0	0	NA	NA	NA	NA
Monaco	1	0	0	NA	2.585e-5	0	5	2	1.25	1.2925e-4	5.17e-5	3.23125e-5	2020-03-05	0	0	NA	NA	NA	NA
Switzerland	114	1	3	NA	1.339e-5	1.2e-7	333.333333333	153.846153846	100	4e-5	1.84615384615e-5	1.2e-5	2020-03-05	24	1	NA	NA	NA	NA
Russia	4	0	2	NA	3e-8	0	20	8	5	1.5e-7	6e-8	3.75e-8	2020-03-05	1	0	NA	NA	NA	NA
Romania	6	0	1	NA	3.1e-7	0	30	12	7.5	1.55e-6	6.2e-7	3.875e-7	2020-03-05	2	0	NA	NA	NA	NA
Estonia	3	0	0	NA	2.27e-6	0	15	6	3.75	1.135e-5	4.54e-6	2.8375e-6	2020-03-05	1	0	NA	NA	NA	NA
Portugal	8	0	0	NA	7.8e-7	0	40	16	10	3.9e-6	1.56e-6	9.75e-7	2020-03-05	3	0	NA	NA	NA	NA
Liechtenstein	1	0	0	NA	2.638e-5	0	5	2	1.25	1.319e-4	5.276e-5	3.2975e-5	2020-03-05	0	0	NA	NA	NA	NA
Azerbaijan	6	0	0	NA	6e-7	0	30	12	7.5	3e-6	1.2e-6	7.5e-7	2020-03-05	3	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-03-05	0	0	NA	NA	NA	NA
Austria	41	0	0	NA	4.63e-6	0	205	82	51.25	2.315e-5	9.26e-6	5.7875e-6	2020-03-05	12	0	NA	NA	NA	NA
Greece	31	0	0	NA	2.89e-6	0	155	62	38.75	1.445e-5	5.78e-6	3.6125e-6	2020-03-05	22	0	NA	NA	NA	NA
Hungary	2	0	0	NA	2e-7	0	10	4	2.5	1e-6	4e-7	2.5e-7	2020-03-05	0	0	NA	NA	NA	NA
New Zealand	3	0	0	NA	6.1e-7	0	15	6	3.75	3.05e-6	1.22e-6	7.625e-7	2020-03-05	0	0	NA	NA	NA	NA
Australia	54	2	21	NA	2.16e-6	8e-8	666.666666667	307.692307692	200	2.66666666667e-5	1.23076923077e-5	8e-6	2020-03-05	13	0	NA	NA	NA	NA
Algeria	12	0	0	NA	2.8e-7	0	60	24	15	1.4e-6	5.6e-7	3.5e-7	2020-03-05	0	0	NA	NA	NA	NA
South Africa	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-05	NA	NA	NA	NA	NA	NA
Egypt	3	0	1	NA	3e-8	0	15	6	3.75	1.5e-7	6e-8	3.75e-8	2020-03-05	1	0	NA	NA	NA	NA
Morocco	2	0	0	NA	6e-8	0	10	4	2.5	3e-7	1.2e-7	7.5e-8	2020-03-05	1	0	NA	NA	NA	NA
Senegal	4	0	0	NA	2.5e-7	0	20	8	5	1.25e-6	5e-7	3.125e-7	2020-03-05	0	0	NA	NA	NA	NA
Tunisia	1	0	0	NA	9e-8	0	5	2	1.25	4.5e-7	1.8e-7	1.125e-7	2020-03-05	0	0	NA	NA	NA	NA
Nigeria	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-03-05	0	0	NA	NA	NA	NA
Afghanistan	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-03-05	0	0	NA	NA	NA	NA
Qatar	8	0	0	NA	2.88e-6	0	40	16	10	1.44e-5	5.76e-6	3.6e-6	2020-03-05	0	0	NA	NA	NA	NA
Kuwait	58	0	0	NA	1.402e-5	0	290	116	72.5	7.01e-5	2.804e-5	1.7525e-5	2020-03-05	2	0	NA	NA	NA	NA
Nepal	1	0	1	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-03-05	0	0	NA	NA	NA	NA
Cambodia	1	0	1	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-03-05	0	0	NA	NA	NA	NA
Bahrain	55	0	0	NA	3.504e-5	0	275	110	68.75	1.752e-4	7.008e-5	4.38e-5	2020-03-05	3	0	NA	NA	NA	NA
Saudi Arabia	5	0	0	NA	1.5e-7	0	25	10	6.25	7.5e-7	3e-7	1.875e-7	2020-03-05	4	0	NA	NA	NA	NA
Iran	3513	107	739	NA	4.295e-5	1.31e-6	35666.6666667	16461.5384615	10700	4.36666666667e-4	2.01538461538e-4	1.31e-4	2020-03-05	591	15	NA	NA	NA	NA
Singapore	117	0	78	NA	2.075e-5	0	585	234	146.25	1.0375e-4	4.15e-5	2.59375e-5	2020-03-05	7	0	NA	NA	NA	NA
Jordan	1	0	0	NA	1e-7	0	5	2	1.25	5e-7	2e-7	1.25e-7	2020-03-05	0	0	NA	NA	NA	NA
China	75149	2954	47333	NA	5.396e-5	2.12e-6	984666.666667	454461.538462	295400	7.06666666667e-4	3.26153846154e-4	2.12e-4	2020-03-05	520	33	NA	NA	NA	NA
Thailand	47	1	31	NA	6.8e-7	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	2020-03-05	4	0	NA	NA	NA	NA
Iraq	35	2	0	NA	9.1e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	2020-03-05	0	0	NA	NA	NA	NA
India	30	0	3	NA	2e-8	0	150	60	37.5	1e-7	4e-8	2.5e-8	2020-03-05	2	0	NA	NA	NA	NA
Oman	16	0	2	NA	3.31e-6	0	80	32	20	1.655e-5	6.62e-6	4.1375e-6	2020-03-05	1	0	NA	NA	NA	NA
Philippines	3	1	1	NA	3e-8	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	2020-03-05	0	0	NA	NA	NA	NA
Indonesia	2	0	0	NA	1e-8	0	10	4	2.5	5e-8	2e-8	1.25e-8	2020-03-05	0	0	NA	NA	NA	NA
Vietnam	16	0	16	NA	1.7e-7	0	80	32	20	8.5e-7	3.4e-7	2.125e-7	2020-03-05	0	0	NA	NA	NA	NA
Taiwan	44	1	12	NA	1.85e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	2020-03-05	2	0	NA	NA	NA	NA
Pakistan	5	0	0	NA	2e-8	0	25	10	6.25	1e-7	4e-8	2.5e-8	2020-03-05	0	0	NA	NA	NA	NA
United Arab Emirates	29	0	5	NA	3.01e-6	0	145	58	36.25	1.505e-5	6.02e-6	3.7625e-6	2020-03-05	2	0	NA	NA	NA	NA
Lebanon	16	0	1	NA	2.34e-6	0	80	32	20	1.17e-5	4.68e-6	2.925e-6	2020-03-05	3	0	NA	NA	NA	NA
Malaysia	50	0	22	NA	1.58e-6	0	250	100	62.5	7.9e-6	3.16e-6	1.975e-6	2020-03-05	0	0	NA	NA	NA	NA
Sri Lanka	1	0	1	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-03-05	0	0	NA	NA	NA	NA
Japan	360	6	43	NA	2.85e-6	5e-8	2000	923.076923077	600	1.66666666667e-5	7.69230769231e-6	5e-6	2020-03-05	29	0	NA	NA	NA	NA
South Korea	6088	35	41	NA	1.179e-4	6.8e-7	11666.6666667	5384.61538462	3500	2.26666666667e-4	1.04615384615e-4	6.8e-5	2020-03-05	467	0	NA	NA	NA	NA
Canada	37	0	6	NA	1e-6	0	185	74	46.25	5e-6	2e-6	1.25e-6	2020-03-05	5	0	NA	NA	NA	NA
Dominican Republic	1	0	0	NA	9e-8	0	5	2	1.25	4.5e-7	1.8e-7	1.125e-7	2020-03-05	0	0	NA	NA	NA	NA
United States of America	179	11	6	NA	5.5e-7	3e-8	3666.66666667	1692.30769231	1100	1e-5	4.61538461538e-6	3e-6	2020-03-05	50	1	NA	NA	NA	NA
Mexico	5	0	1	NA	4e-8	0	25	10	6.25	2e-7	8e-8	5e-8	2020-03-05	0	0	NA	NA	NA	NA
Brazil	4	0	0	NA	2e-8	0	20	8	5	1e-7	4e-8	2.5e-8	2020-03-05	0	0	NA	NA	NA	NA
Argentina	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-05	0	0	NA	NA	NA	NA
Chile	4	0	0	NA	2.1e-7	0	20	8	5	1.05e-6	4.2e-7	2.625e-7	2020-03-05	3	0	NA	NA	NA	NA
Ecuador	13	0	0	NA	7.6e-7	0	65	26	16.25	3.8e-6	1.52e-6	9.5e-7	2020-03-05	3	0	NA	NA	NA	NA
Palestine	4	0	0	NA	NA	NA	20	8	5	NA	NA	NA	2020-03-05	NA	NA	NA	NA	NA	NA
Diamond Princess	706	6	10	NA	NA	NA	2000	923.076923077	600	NA	NA	NA	2020-03-05	0	0	NA	NA	NA	NA
Saint Barthelemy	3	0	0	NA	NA	NA	15	6	3.75	NA	NA	NA	2020-03-05	0	0	NA	NA	NA	NA
Gibraltar	1	0	0	NA	2.966e-5	0	5	2	1.25	1.483e-4	5.932e-5	3.7075e-5	2020-03-05	0	0	NA	NA	NA	NA
Faroe Islands	1	0	0	NA	2.062e-5	0	5	2	1.25	1.031e-4	4.124e-5	2.5775e-5	2020-03-05	0	0	NA	NA	NA	NA
Italy	4636	197	523	NA	7.672e-5	3.26e-6	65666.6666667	30307.6923077	19700	0.00108666666667	5.01538461538e-4	3.26e-4	2020-03-06	778	49	NA	NA	NA	NA
Czech Republic	18	0	0	NA	1.69e-6	0	90	36	22.5	8.45e-6	3.38e-6	2.1125e-6	2020-03-06	6	0	NA	NA	NA	NA
San Marino	21	1	0	NA	6.2158e-4	2.96e-5	333.333333333	153.846153846	100	0.00986666666667	0.00455384615385	0.00296	2020-03-06	0	0	NA	NA	NA	NA
Luxembourg	2	0	0	NA	3.29e-6	0	10	4	2.5	1.645e-5	6.58e-6	4.1125e-6	2020-03-06	1	0	NA	NA	NA	NA
France	653	9	12	NA	9.75e-6	1.3e-7	3000	1384.61538462	900	4.33333333333e-5	2e-5	1.3e-5	2020-03-06	276	3	NA	NA	NA	NA
Andorra	1	0	0	NA	1.299e-5	0	5	2	1.25	6.495e-5	2.598e-5	1.62375e-5	2020-03-06	0	0	NA	NA	NA	NA
Georgia	4	0	0	NA	1.07e-6	0	20	8	5	5.35e-6	2.14e-6	1.3375e-6	2020-03-06	0	0	NA	NA	NA	NA
Slovakia	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-03-06	NA	NA	NA	NA	NA	NA
Ireland	18	0	0	NA	3.71e-6	0	90	36	22.5	1.855e-5	7.42e-6	4.6375e-6	2020-03-06	12	0	NA	NA	NA	NA
Norway	108	0	0	NA	2.032e-5	0	540	216	135	1.016e-4	4.064e-5	2.54e-5	2020-03-06	21	0	NA	NA	NA	NA
Lithuania	1	0	0	NA	3.6e-7	0	5	2	1.25	1.8e-6	7.2e-7	4.5e-7	2020-03-06	0	0	NA	NA	NA	NA
Israel	21	0	2	NA	2.36e-6	0	105	42	26.25	1.18e-5	4.72e-6	2.95e-6	2020-03-06	5	0	NA	NA	NA	NA
Belarus	6	0	0	NA	6.3e-7	0	30	12	7.5	3.15e-6	1.26e-6	7.875e-7	2020-03-06	0	0	NA	NA	NA	NA
Iceland	43	0	0	NA	1.2162e-4	0	215	86	53.75	6.081e-4	2.4324e-4	1.52025e-4	2020-03-06	9	0	NA	NA	NA	NA
Slovenia	7	0	0	NA	3.39e-6	0	35	14	8.75	1.695e-5	6.78e-6	4.2375e-6	2020-03-06	5	0	NA	NA	NA	NA
Germany	670	0	17	NA	8.08e-6	0	3350	1340	837.5	4.04e-5	1.616e-5	1.01e-5	2020-03-06	188	0	NA	NA	NA	NA
Bosnia and Herzegovina	2	0	0	NA	6e-7	0	10	4	2.5	3e-6	1.2e-6	7.5e-7	2020-03-06	0	0	NA	NA	NA	NA
Armenia	1	0	0	NA	3.4e-7	0	5	2	1.25	1.7e-6	6.8e-7	4.25e-7	2020-03-06	0	0	NA	NA	NA	NA
Belgium	109	0	1	NA	9.54e-6	0	545	218	136.25	4.77e-5	1.908e-5	1.1925e-5	2020-03-06	59	0	NA	NA	NA	NA
Spain	400	5	2	NA	8.56e-6	1.1e-7	1666.66666667	769.230769231	500	3.66666666667e-5	1.69230769231e-5	1.1e-5	2020-03-06	141	2	NA	NA	NA	NA
Ukraine	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-06	0	0	NA	NA	NA	NA
Netherlands	128	1	0	NA	7.43e-6	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	2020-03-06	46	1	NA	NA	NA	NA
Denmark	23	0	1	NA	3.97e-6	0	115	46	28.75	1.985e-5	7.94e-6	4.9625e-6	2020-03-06	13	0	NA	NA	NA	NA
Poland	5	0	0	NA	1.3e-7	0	25	10	6.25	6.5e-7	2.6e-7	1.625e-7	2020-03-06	4	0	NA	NA	NA	NA
Finland	15	0	1	NA	2.72e-6	0	75	30	18.75	1.36e-5	5.44e-6	3.4e-6	2020-03-06	3	0	NA	NA	NA	NA
Macedonia	3	0	0	NA	1.44e-6	0	15	6	3.75	7.2e-6	2.88e-6	1.8e-6	2020-03-06	2	0	NA	NA	NA	NA
Sweden	101	0	0	NA	9.92e-6	0	505	202	126.25	4.96e-5	1.984e-5	1.24e-5	2020-03-06	7	0	NA	NA	NA	NA
Latvia	1	0	0	NA	5.2e-7	0	5	2	1.25	2.6e-6	1.04e-6	6.5e-7	2020-03-06	0	0	NA	NA	NA	NA
Croatia	11	0	0	NA	2.69e-6	0	55	22	13.75	1.345e-5	5.38e-6	3.3625e-6	2020-03-06	1	0	NA	NA	NA	NA
Monaco	1	0	0	NA	2.585e-5	0	5	2	1.25	1.2925e-4	5.17e-5	3.23125e-5	2020-03-06	0	0	NA	NA	NA	NA
Switzerland	214	1	3	NA	2.513e-5	1.2e-7	333.333333333	153.846153846	100	4e-5	1.84615384615e-5	1.2e-5	2020-03-06	100	0	NA	NA	NA	NA
Russia	13	0	2	NA	9e-8	0	65	26	16.25	4.5e-7	1.8e-7	1.125e-7	2020-03-06	9	0	NA	NA	NA	NA
Romania	9	0	1	NA	4.6e-7	0	45	18	11.25	2.3e-6	9.2e-7	5.75e-7	2020-03-06	3	0	NA	NA	NA	NA
Estonia	10	0	0	NA	7.57e-6	0	50	20	12.5	3.785e-5	1.514e-5	9.4625e-6	2020-03-06	7	0	NA	NA	NA	NA
Portugal	13	0	0	NA	1.26e-6	0	65	26	16.25	6.3e-6	2.52e-6	1.575e-6	2020-03-06	5	0	NA	NA	NA	NA
Liechtenstein	1	0	0	NA	2.638e-5	0	5	2	1.25	1.319e-4	5.276e-5	3.2975e-5	2020-03-06	0	0	NA	NA	NA	NA
Azerbaijan	6	0	0	NA	6e-7	0	30	12	7.5	3e-6	1.2e-6	7.5e-7	2020-03-06	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-03-06	0	0	NA	NA	NA	NA
Austria	55	0	0	NA	6.22e-6	0	275	110	68.75	3.11e-5	1.244e-5	7.775e-6	2020-03-06	14	0	NA	NA	NA	NA
Republic of Serbia	1	0	0	NA	1.4e-7	0	5	2	1.25	7e-7	2.8e-7	1.75e-7	2020-03-06	NA	NA	NA	NA	NA	NA
Greece	45	0	0	NA	4.19e-6	0	225	90	56.25	2.095e-5	8.38e-6	5.2375e-6	2020-03-06	14	0	NA	NA	NA	NA
Hungary	2	0	0	NA	2e-7	0	10	4	2.5	1e-6	4e-7	2.5e-7	2020-03-06	0	0	NA	NA	NA	NA
New Zealand	4	0	0	NA	8.2e-7	0	20	8	5	4.1e-6	1.64e-6	1.025e-6	2020-03-06	1	0	NA	NA	NA	NA
Australia	60	2	21	NA	2.4e-6	8e-8	666.666666667	307.692307692	200	2.66666666667e-5	1.23076923077e-5	8e-6	2020-03-06	6	0	NA	NA	NA	NA
Algeria	17	0	0	NA	4e-7	0	85	34	21.25	2e-6	8e-7	5e-7	2020-03-06	5	0	NA	NA	NA	NA
South Africa	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-06	0	0	NA	NA	NA	NA
Egypt	15	0	1	NA	1.5e-7	0	75	30	18.75	7.5e-7	3e-7	1.875e-7	2020-03-06	12	0	NA	NA	NA	NA
Morocco	2	0	0	NA	6e-8	0	10	4	2.5	3e-7	1.2e-7	7.5e-8	2020-03-06	0	0	NA	NA	NA	NA
Senegal	4	0	0	NA	2.5e-7	0	20	8	5	1.25e-6	5e-7	3.125e-7	2020-03-06	0	0	NA	NA	NA	NA
Tunisia	1	0	0	NA	9e-8	0	5	2	1.25	4.5e-7	1.8e-7	1.125e-7	2020-03-06	0	0	NA	NA	NA	NA
Togo	1	0	0	NA	1.3e-7	0	5	2	1.25	6.5e-7	2.6e-7	1.625e-7	2020-03-06	NA	NA	NA	NA	NA	NA
Nigeria	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-03-06	0	0	NA	NA	NA	NA
Cameroon	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-03-06	NA	NA	NA	NA	NA	NA
Afghanistan	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-03-06	0	0	NA	NA	NA	NA
Qatar	8	0	0	NA	2.88e-6	0	40	16	10	1.44e-5	5.76e-6	3.6e-6	2020-03-06	0	0	NA	NA	NA	NA
Bhutan	1	0	0	NA	1.33e-6	0	5	2	1.25	6.65e-6	2.66e-6	1.6625e-6	2020-03-06	NA	NA	NA	NA	NA	NA
Kuwait	58	0	0	NA	1.402e-5	0	290	116	72.5	7.01e-5	2.804e-5	1.7525e-5	2020-03-06	0	0	NA	NA	NA	NA
Nepal	1	0	1	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-03-06	0	0	NA	NA	NA	NA
Cambodia	1	0	1	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-03-06	0	0	NA	NA	NA	NA
Bahrain	60	0	4	NA	3.823e-5	0	300	120	75	1.9115e-4	7.646e-5	4.77875e-5	2020-03-06	5	0	NA	NA	NA	NA
Saudi Arabia	5	0	0	NA	1.5e-7	0	25	10	6.25	7.5e-7	3e-7	1.875e-7	2020-03-06	0	0	NA	NA	NA	NA
Iran	4747	124	913	NA	5.803e-5	1.52e-6	41333.3333333	19076.9230769	12400	5.06666666667e-4	2.33846153846e-4	1.52e-4	2020-03-06	1234	17	NA	NA	NA	NA
Singapore	130	0	78	NA	2.306e-5	0	650	260	162.5	1.153e-4	4.612e-5	2.8825e-5	2020-03-06	13	0	NA	NA	NA	NA
Jordan	1	0	0	NA	1e-7	0	5	2	1.25	5e-7	2e-7	1.25e-7	2020-03-06	0	0	NA	NA	NA	NA
China	75340	2978	48967	NA	5.41e-5	2.14e-6	992666.666667	458153.846154	297800	7.13333333333e-4	3.29230769231e-4	2.14e-4	2020-03-06	191	24	NA	NA	NA	NA
Thailand	48	1	31	NA	6.9e-7	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	2020-03-06	1	0	NA	NA	NA	NA
Iraq	40	3	0	NA	1.04e-6	8e-8	1000	461.538461538	300	2.66666666667e-5	1.23076923077e-5	8e-6	2020-03-06	5	1	NA	NA	NA	NA
India	31	0	3	NA	2e-8	0	155	62	38.75	1e-7	4e-8	2.5e-8	2020-03-06	1	0	NA	NA	NA	NA
Oman	16	0	2	NA	3.31e-6	0	80	32	20	1.655e-5	6.62e-6	4.1375e-6	2020-03-06	0	0	NA	NA	NA	NA
Philippines	5	1	1	NA	5e-8	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	2020-03-06	2	0	NA	NA	NA	NA
Indonesia	4	0	0	NA	1e-8	0	20	8	5	5e-8	2e-8	1.25e-8	2020-03-06	2	0	NA	NA	NA	NA
Vietnam	16	0	16	NA	1.7e-7	0	80	32	20	8.5e-7	3.4e-7	2.125e-7	2020-03-06	0	0	NA	NA	NA	NA
Taiwan	45	1	12	NA	1.89e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	2020-03-06	1	0	NA	NA	NA	NA
Pakistan	6	0	0	NA	3e-8	0	30	12	7.5	1.5e-7	6e-8	3.75e-8	2020-03-06	1	0	NA	NA	NA	NA
United Arab Emirates	29	0	5	NA	3.01e-6	0	145	58	36.25	1.505e-5	6.02e-6	3.7625e-6	2020-03-06	0	0	NA	NA	NA	NA
Lebanon	22	0	1	NA	3.21e-6	0	110	44	27.5	1.605e-5	6.42e-6	4.0125e-6	2020-03-06	6	0	NA	NA	NA	NA
Malaysia	83	0	22	NA	2.62e-6	0	415	166	103.75	1.31e-5	5.24e-6	3.275e-6	2020-03-06	33	0	NA	NA	NA	NA
Sri Lanka	1	0	1	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-03-06	0	0	NA	NA	NA	NA
Japan	420	6	46	NA	3.32e-6	5e-8	2000	923.076923077	600	1.66666666667e-5	7.69230769231e-6	5e-6	2020-03-06	60	0	NA	NA	NA	NA
South Korea	6593	42	135	NA	1.2768e-4	8.1e-7	14000	6461.53846154	4200	2.7e-4	1.24615384615e-4	8.1e-5	2020-03-06	505	7	NA	NA	NA	NA
Canada	48	0	5	NA	1.3e-6	0	240	96	60	6.5e-6	2.6e-6	1.625e-6	2020-03-06	11	0	NA	NA	NA	NA
Dominican Republic	2	0	0	NA	1.9e-7	0	10	4	2.5	9.5e-7	3.8e-7	2.375e-7	2020-03-06	1	0	NA	NA	NA	NA
United States of America	218	12	7	NA	6.7e-7	4e-8	4000	1846.15384615	1200	1.33333333333e-5	6.15384615385e-6	4e-6	2020-03-06	39	1	NA	NA	NA	NA
Costa Rica	1	0	0	NA	2e-7	0	5	2	1.25	1e-6	4e-7	2.5e-7	2020-03-06	NA	NA	NA	NA	NA	NA
Mexico	6	0	1	NA	5e-8	0	30	12	7.5	2.5e-7	1e-7	6.25e-8	2020-03-06	1	0	NA	NA	NA	NA
Brazil	13	0	0	NA	6e-8	0	65	26	16.25	3e-7	1.2e-7	7.5e-8	2020-03-06	9	0	NA	NA	NA	NA
Chile	4	0	0	NA	2.1e-7	0	20	8	5	1.05e-6	4.2e-7	2.625e-7	2020-03-06	0	0	NA	NA	NA	NA
Colombia	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-06	NA	NA	NA	NA	NA	NA
Peru	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-03-06	NA	NA	NA	NA	NA	NA
Argentina	2	0	0	NA	4e-8	0	10	4	2.5	2e-7	8e-8	5e-8	2020-03-06	1	0	NA	NA	NA	NA
Ecuador	13	0	0	NA	7.6e-7	0	65	26	16.25	3.8e-6	1.52e-6	9.5e-7	2020-03-06	0	0	NA	NA	NA	NA
Faroe Islands	1	0	0	NA	2.062e-5	0	5	2	1.25	1.031e-4	4.124e-5	2.5775e-5	2020-03-06	0	0	NA	NA	NA	NA
Diamond Princess	696	6	40	NA	NA	NA	2000	923.076923077	600	NA	NA	NA	2020-03-06	0	0	NA	NA	NA	NA
Gibraltar	1	0	0	NA	2.966e-5	0	5	2	1.25	1.483e-4	5.932e-5	3.7075e-5	2020-03-06	0	0	NA	NA	NA	NA
Palestine	16	0	0	NA	NA	NA	80	32	20	NA	NA	NA	2020-03-06	12	0	NA	NA	NA	NA
Vatican City	1	0	0	NA	NA	NA	5	2	1.25	NA	NA	NA	2020-03-06	NA	NA	NA	NA	NA	NA
Saint Barthelemy	3	0	0	NA	NA	NA	15	6	3.75	NA	NA	NA	2020-03-06	0	0	NA	NA	NA	NA
Italy	5883	233	589	NA	9.735e-5	3.86e-6	77666.6666667	35846.1538462	23300	0.00128666666667	5.93846153846e-4	3.86e-4	2020-03-07	1247	36	NA	NA	NA	NA
Czech Republic	19	0	0	NA	1.79e-6	0	95	38	23.75	8.95e-6	3.58e-6	2.2375e-6	2020-03-07	1	0	NA	NA	NA	NA
San Marino	23	1	0	NA	6.8078e-4	2.96e-5	333.333333333	153.846153846	100	0.00986666666667	0.00455384615385	0.00296	2020-03-07	2	0	NA	NA	NA	NA
Malta	3	0	0	NA	6.2e-6	0	15	6	3.75	3.1e-5	1.24e-5	7.75e-6	2020-03-07	NA	NA	NA	NA	NA	NA
France	951	11	12	NA	1.42e-5	1.6e-7	3666.66666667	1692.30769231	1100	5.33333333333e-5	2.46153846154e-5	1.6e-5	2020-03-07	298	2	NA	NA	NA	NA
Andorra	1	0	0	NA	1.299e-5	0	5	2	1.25	6.495e-5	2.598e-5	1.62375e-5	2020-03-07	0	0	NA	NA	NA	NA
Georgia	4	0	0	NA	1.07e-6	0	20	8	5	5.35e-6	2.14e-6	1.3375e-6	2020-03-07	0	0	NA	NA	NA	NA
Slovakia	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-03-07	0	0	NA	NA	NA	NA
Ireland	18	0	0	NA	3.71e-6	0	90	36	22.5	1.855e-5	7.42e-6	4.6375e-6	2020-03-07	0	0	NA	NA	NA	NA
Norway	147	0	0	NA	2.766e-5	0	735	294	183.75	1.383e-4	5.532e-5	3.4575e-5	2020-03-07	39	0	NA	NA	NA	NA
Lithuania	1	0	0	NA	3.6e-7	0	5	2	1.25	1.8e-6	7.2e-7	4.5e-7	2020-03-07	0	0	NA	NA	NA	NA
Israel	21	0	2	NA	2.36e-6	0	105	42	26.25	1.18e-5	4.72e-6	2.95e-6	2020-03-07	0	0	NA	NA	NA	NA
Belarus	6	0	0	NA	6.3e-7	0	30	12	7.5	3.15e-6	1.26e-6	7.875e-7	2020-03-07	0	0	NA	NA	NA	NA
Iceland	50	0	0	NA	1.4141e-4	0	250	100	62.5	7.0705e-4	2.8282e-4	1.767625e-4	2020-03-07	7	0	NA	NA	NA	NA
Slovenia	7	0	0	NA	3.39e-6	0	35	14	8.75	1.695e-5	6.78e-6	4.2375e-6	2020-03-07	0	0	NA	NA	NA	NA
Germany	799	0	18	NA	9.63e-6	0	3995	1598	998.75	4.815e-5	1.926e-5	1.20375e-5	2020-03-07	129	0	NA	NA	NA	NA
Bosnia and Herzegovina	3	0	0	NA	9e-7	0	15	6	3.75	4.5e-6	1.8e-6	1.125e-6	2020-03-07	1	0	NA	NA	NA	NA
Armenia	1	0	0	NA	3.4e-7	0	5	2	1.25	1.7e-6	6.8e-7	4.25e-7	2020-03-07	0	0	NA	NA	NA	NA
Belgium	169	0	1	NA	1.48e-5	0	845	338	211.25	7.4e-5	2.96e-5	1.85e-5	2020-03-07	60	0	NA	NA	NA	NA
Spain	500	10	30	NA	1.07e-5	2.1e-7	3333.33333333	1538.46153846	1000	7e-5	3.23076923077e-5	2.1e-5	2020-03-07	100	5	NA	NA	NA	NA
Ukraine	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-03-07	0	0	NA	NA	NA	NA
Netherlands	188	1	0	NA	1.091e-5	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	2020-03-07	60	0	NA	NA	NA	NA
Denmark	23	0	1	NA	3.97e-6	0	115	46	28.75	1.985e-5	7.94e-6	4.9625e-6	2020-03-07	0	0	NA	NA	NA	NA
Poland	5	0	0	NA	1.3e-7	0	25	10	6.25	6.5e-7	2.6e-7	1.625e-7	2020-03-07	0	0	NA	NA	NA	NA
